date,phase,phaseid
1/1/2016,Last Quarter,4
1/9/2016,New Moon,1
1/16/2016,First Quarter,2
1/23/2016,Full Moon,3
1/31/2016,Last Quarter,4
2/8/2016,New Moon,1
2/15/2016,First Quarter,2
2/22/2016,Full Moon,3
3/1/2016,Last Quarter,4
3/8/2016,New Moon,1
3/15/2016,First Quarter,2
3/23/2016,Full Moon,3
3/31/2016,Last Quarter,4
4/7/2016,New Moon,1
4/13/2016,First Quarter,2
4/21/2016,Full Moon,3
4/29/2016,Last Quarter,4
5/6/2016,New Moon,1
5/13/2016,First Quarter,2
5/21/2016,Full Moon,3
5/29/2016,Last Quarter,4
6/4/2016,New Moon,1
6/12/2016,First Quarter,2
6/20/2016,Full Moon,3
6/27/2016,Last Quarter,4
7/4/2016,New Moon,1
7/11/2016,First Quarter,2
7/19/2016,Full Moon,3
7/26/2016,Last Quarter,4
8/2/2016,New Moon,1
8/10/2016,First Quarter,2
8/18/2016,Full Moon,3
8/24/2016,Last Quarter,4
9/1/2016,New Moon,1
9/9/2016,First Quarter,2
9/16/2016,Full Moon,3
9/23/2016,Last Quarter,4
9/30/2016,New Moon,1
10/8/2016,First Quarter,2
10/15/2016,Full Moon,3
10/22/2016,Last Quarter,4
10/30/2016,New Moon,1
11/7/2016,First Quarter,2
11/14/2016,Full Moon,3
11/21/2016,Last Quarter,4
11/29/2016,New Moon,1
12/7/2016,First Quarter,2
12/13/2016,Full Moon,3
12/20/2016,Last Quarter,4
12/28/2016,New Moon,1
